"instructor","id","section_sis_id","my_instructor_may_share_my_reflection_responses_with_the_researchers_in_this_study","as_of_today_i_am_at_least_19_years_of_age","in_this_class_youll_be_learning_about_the_process_of_scientific_investigation_what_do_you_think_that_process_looks_like_from_the_perspective_of_a_researcher_compared_to_what_it_looks_like_from_the_perspective_of_someone_in_the_general_public_who_is_a_consumer_of_scientific_results_write_a_paragraph_at_least_3_5_sentences_about_how_you_think_science_happens","paste_the_response_code_you_received_after_participating_in_the_graphics_experiment_here","what_do_you_think_the_purpose_of_the_experiment_was","what_hypotheses_might_the_experimenter_have_been_testing","what_sources_of_error_are_involved_in_this_experiment","what_variables_were_examined_for_each_variable_identify_whether_it_was_quantitative_or_categorical","what_elements_of_experimental_design_such_as_randomization_or_the_use_of_a_control_group_do_you_think_were_present_in_the_experiment_why","what_components_of_the_experiment_are_clearer_now_than_they_were_as_a_participant_what_questions_do_you_still_have_for_the_experimenter_write_3_5_sentences_reflecting_on_the_abstract","how_did_the_information_you_gained_from_the_components_of_this_project_participation_post_study_reflection_extended_abstract_presentation_differ","what_components_were_emphasized_in_the_presentation_that_werent_emphasized_in_the_abstract_why_do_you_think_that_is","what_critiques_do_you_have_of_this_study_and_its_design_what_would_have_made_the_study_better","if_you_had_to_hear_about_this_study_using_only_the_extended_abstract_or_only_the_presentation_which_one_would_you_prefer_which_one_would_be_better_for_determining_whether_the_experiment_was_well_designed"
"1","c343e6ba9b2ac3908d35d1af7f17aef8","STAT-218-701.1238","I agree","TRUE","rom a researcher's standpoint, the scientific investigation process is a thorough and methodical journey of exploration and discovery. It all starts with forming a research question, creating hypotheses, and designing experiments or studies to test these hypotheses. Researchers meticulously collect and analyze data, often using specialized tools and methods to derive meaningful conclusions. It's a process that demands careful attention to detail, critical thinking, and a commitment to following the scientific method to ensure the accuracy and reliability of the findings. Researchers also participate in peer review and share their discoveries through publications, conferences, and collaborations with fellow scientists.

On the other hand, for someone in the general public who consumes scientific results, the process appears more simplified. They usually come across scientific information through the media, educational sources, or public communication. The focus is on the end results of scientific research, such as new discoveries, advancements, or practical applications, rather than the intricate steps leading to these outcomes. The general public is presented with the final conclusions and real-world applications of scientific research, which are often presented in a way that's easy to understand. While they benefit from the progress and knowledge generated by scientists, they may not have a deep understanding of the complexities and challenges researchers encounter during their investigative journey.","brokering-flixweeds-luminesce-roughriders","To test how much people perceive the percentage of something to smaller ","People will be closer to the middle if the bar graphs are closer to each other","People that are guessing","size - categorical

amount of size difference - quantitative","I believe that the examples given were randomized each time but the questions in general all followed the same format","The exam was about perceptual judgement, using the difference between 2D and 3D graphics. This is a different approach than just deciding how much bigger or smaller something is as the participant. A question I have is why we think 3D graphs are harder to perceive than a 2D graph. This seems a bit confusing to me, because they seem to be about the same for me. I also would like to know about the difference between 2D rendered charts compared to a 3D printed chart. Perhaps this is because I took this course online. ","They gave more depth to the purpose of the experiment for me. As a participant I would say that I was a bit ignorant to purpose as I simply answered the questions rather than inferring the reasoning behind my answers. ","The difference between the ratios and whether the graphs were adjacent or separated. I think this is because it is a deeper question than the original research question. It is another variable rather than the answer to our research question. ","I think that the actual experiment could have asked the participants more about their own experience with the 2D and 3D designs. Whether they personally thought one was harder to understand than the other. We have data to show which one may have been more difficult, but asking opinions of the participant may have changed how we viewed the results. ","An extended abstract typically provides a more comprehensive written overview of the study, including details on the research question, methodology, data collection, analysis, and results. It often includes references and citations to related literature, which can help in assessing the study's context and the soundness of the research design. This format allows for a more in-depth and critical examination of the study's methodology and the quality of the data and analysis.

Presentations, on the other hand, are often limited by time constraints and may focus more on summarizing key findings and implications, potentially leaving out some of the finer details of the research design. They are valuable for providing a quick overview and for engaging an audience, but they may not offer the same level of depth and scrutiny as an extended abstract.

So, if the goal is to determine whether an experiment was well designed, the extended abstract is usually the better choice for a more comprehensive and detailed assessment of the research methodology and its rigor. However, combining both the presentation and the extended abstract can provide a more complete understanding of the study."
"1","e0520b84ad0cf90b1f6eb7ffe9efe50b","STAT-218-701.1238","I agree","TRUE","From the perspective of a researcher you have a list of topics you need to answer like problem identification, data collection, and interpretation, Plus many more. From the perspective of general public you have things like understanding, engagement, and critical thinking to worry about.","ceftriaxones-steampunks-nonesterified-lichted","To see if we could accurately read the 3D printed, 3D, and 2D graphs ","What is the % difference between the accuracy of read the different types of graphs ","There are no line values to help measure it when there is a small difference between the graphs.","Accuracy: quantitative 

weather they chose a square or triangle: categorical

How fast they took to take the survey: quantitative  ","I think this was controlled because its a survey for students in the stats class, if it were to be randomized it would be for random people. ","One of the things that make sense to me now is that there is a cut difference between the accuracy of a 3D on 2D chart. It was confusing to see that they read two different totals with the same data so I assumed the 3D was more accurate. Another thing that messed me was that I tried to estimate the results with could've throw off the results. And that could've add to my error in my graph","He provided for background information to it and more of a purpose to it as well, rather than just having a group take it randomly.","One of the things that was talked about was that the graphs were randomly assigned in order and from there they followed kind of an order. This was probably the case because they wanted an accurate version of the data","Don't give so many ratios and combinations, it did make for a confusing study. A little more information to this study would have been better than almost no context","Presentation, because it would provide more information than the abstract. 

Presentation "
"1","2897188a5ab5d498ce416b331070526a","STAT-218-701.1238","I agree","TRUE","The process of a scientific investigation involves asking a question. From there, you would conduct whatever experiment you deem necessary to answer that question. From there you can either confirm or deny your hypothesis. Science represents a very wide variety of things.","fetoproteins-raygrass-from-earwitness","To see if students got progressively inaccurate as the graphs went on","Students will get progressively less accurate as questions were asked","Human","Which one was smaller, categorical

Which one was larger by what amount, quantitative ","I believe every graph was randomized for every student. I also believe the practice was meant to be a bit of the control group.","The reasoning for all the different bars. I was really confused why there were numerous bars on each side, but that is now much more clear. My question for the experimenters is whether they believe it would make a difference in the results if there was only one bar.","The presentation really helped me understand what the project was about. I did not know much about the study given the information from other sources.","The actual purpose of the study, which is to look for discrepancies in the ratios between 2d and 3d bars. This is probably because the abstract went into much more detail on the math involved.","The study doesn't account for discrepancies that are caused to factors other than the difference of a 2d bar vs a 3d bar.","The presentation. This is because the abstract feels much less personable and easier to follow. The abstract is probably better with determining whether the experiment was well designed"
"1","eda9f322fcc0a6549c3609067c486e1a","STAT-218-701.1238","I agree","TRUE","From the viewpoint of a researcher, scientific inquiry is a methodical, evidence-based procedure that entails developing hypotheses, carrying out tests, and analyzing data in order to deepen our understanding of the universe. Researchers work together with colleagues, adhere to strict guidelines, and publish their results in specialist publications. On the other hand, science is typically presented to the general public through media or educational channels as simplified, condensed conclusions. The complex labor that goes into conducting research can be obscured, which highlights the significance of good science communication in bridging the knowledge gap between the public and researchers.","commissionaire-mermaid-complaisances-nonchurchgoers","When evaluating the experiment in Stat 218, focus on key elements: clear research question, randomization, control group, treatment variables, sample size, data collection, experimental procedure, statistical analysis, ethical considerations, and meaningful conclusions. Assess these aspects to determine the experiment's validity and any potential limitations.

 ","The experimenter may have been testing hypotheses to determine whether certain factors or interventions have a significant impact on specific outcomes or variables. These hypotheses could be either null (no effect) or alternative (significant effect) statements.","Potential sources of error in this experiment include random error, systematic error, selection bias, measurement error, and experimental design errors. These errors can affect the accuracy and reliability of the results.","The variables examined were:

* Number of close friends (quantitative).

* Gender  (categorical).","The use of randomization and a control group was likely present in the experiment to minimize bias and isolate the effect of the independent variable on the dependent variable. Randomization helps ensure that groups are comparable, while a control group provides a baseline for comparison, enhancing the experiment's validity.","The abstract presents a concise overview of the research, which focuses on the comparison of 3D printed bar charts to their 2D counterparts in terms of conveying numerical information. It effectively references prior studies in the field, establishing a clear context for the research. The choice of keywords and references lends credibility to the work. However, the abstract lacks a clear statement of the study's primary findings or implications, which would help readers understand the significance of the research. In addition, a more detailed explanation of the specific metrics used to assess the ""effectiveness"" of the charts would provide a clearer understanding of the experiment's goals.","Participation gathers real-time, subjective feedback. Post-study reflection provides deeper insights. The extended abstract offers a formal summary, while the presentation conveys findings to a broader audience. Each component serves a unique role in understanding perceptual judgments on 3D printed bars.","Presentations emphasize visual aids, verbal explanations, audience engagement, key takeaways, and contextualization. This emphasis is to make the research more engaging and understandable for a live audience, whereas abstracts provide a concise written summary.","Some potential critiques and improvements for the study:

Critiques:

* Small sample size.

* Lack of participant diversity.

* Inadequate control of external factors.

* Potential order effects.

* Limited replication.

* Overreliance on subjective judgments.

* Lack of blinding.

* Unclear data analysis.

* Ethical concerns.

* Insufficient discussion of limitations.

Improvements:

* Increase the sample size.

* Include a more diverse group of participants.

* Control external factors.

* Randomize the order of evaluations.

* Replicate the study in different contexts.

* Incorporate objective measures.

* Implement blinding.

* Establish a robust data analysis plan.

* Address ethical considerations.

* Clearly discuss limitations.","If I had to choose between hearing about the study using only the extended abstract or only the presentation to determine whether the experiment was well designed, I would prefer the extended abstract.

The extended abstract is typically a more detailed and structured written document that provides a comprehensive summary of the research methodology, key findings, and conclusions. It is designed to convey the essential aspects of the study in a concise manner, making it easier to scrutinize the study's design and key components.

While presentations can be engaging and informative, they often focus on summarizing key findings and may not provide as much detail on the study's design and methodology. In a presentation, the emphasis is often on delivering a clear message to a live audience, which may not delve deeply into the study's design nuance"
"1","3ad23b55f619cc058df61557ee46f1fd","STAT-218-701.1238","I agree","TRUE","The process of scientific investigation probably looks different from how it is consumed in that scientists have to identify a reasonable way to set up an experiment that would answer the posed question. They would also have to break of the components of their experiment to determine the best way to approach the experiment. This would also factor in how to interpret the data that they’ve gotten (ie chi-squared test vs t test).","upreach-teariest-sept-haggle","To determine how different mediums (3D vs 2D) affect the visualization of data.","2D graphs are better at presenting data to the audience than 3D data.","People in the sample misunderstanding directions.","One variable was the type of graph presented (categorical) and the other was people’s perception of the graph (categorical).","Randomization was likely used to yield a large and wide variety of people with little bias toward what the experiment was testing.","The actual purpose of the experiment, effectiveness of conveying data in 2D vs 3D, is clear er to me now than it was as a participant. I was wondering if other factors influencing perception of 3D vs 2D graphs were considered. Also, if different kinds of data may be better reflected with the respective depths.","The knowledge about what was being experimented on was different. For instance, throughout participation, what was being experimented on remained unclear until reading about the results afterward.","The difference in users (novice vs people that are familiar with reading graphs) in perception of the different graphs more emphasized in the video. Different components of the audience in general were more addressed in the presentation.","The study could have more specifically studied novice graph readers to focus on a more specific group of people. I also feel that this would make for results that would better pertain to the general population.","I prefer the presentation because it is able to cover mor specifics and limitations to the study. However, I believe the extended abstract went more into detail about the specific experiment performed and would be better to determine how well it was designed."
"1","72a5372cff0cff4291462bc5c05a2c6e","STAT-218-701.1238","I agree","TRUE","From the perspective of a researcher, the process of scientific investigation is a complex one. A researcher must be able to set up an experiment and be able to remove any variables that could possibly affect their scientific research question. Researchers set up experiments to answer a question they are asking, and they must remove any variables that could possibly affect the outcome. They must also do background research on the question and gain knowledge about the overall experiment, The general public looks at the scientific investigation as just an experiment happening. They don't really think about possible variables and just look at the end results. ","esne-lymphokines-constabulary-chews","The purpose of the experiment was to see if 2D and 3D models can affect the perception of those who are currently looking at the graph. Will 3D graphs make the participant exaggerate the difference in two bars? ","For the null hypothesis, the experimenter may have been testing that hypothesis of 2D and 3D graphs have no difference when it comes to data comparison. For an alternate hypothesis, the experimenter may have tested 3D graphs have less accurate data comparisons when it comes to 2D graphs. ","Using a 3D graph and a 3D plane was something they planned for because in most previous experiments a 3D graph was used on a 2D plane. ","The variables that were examined were what type of chart, 2D or 3D, and this was categorical. The also examined the variable of how accurately the participant was able to compare the difference in data. This was quantitative. ","Randomization was used as participants all received different sets of graphs to examine. A person wasn't assigned to a certain set of graphs and it was up to random chance on which set of graphs they received. ","Yes, the components of the experiment are clearer now. The abstract gave us details to what the experiment was about and what the research question is. I now know that the experiment was set up to find how 2D and 3D graphs can affect the perception of a person. The set up for the experiment was explained in the abstract and I have background knowledge to why this experiment was set up in the first place. One question that I still have about the experiment is what is the population that is being observed here. Is it the general population or just college students?","Each component of this project explained a different part for the experiment. The participation was to collect data for the experiment while the presentation gave us a breakdown of what the the questionnaire was all about. It also broke down what the results would mean and what the scientific research question was being asked. ","The presentation emphasized the questionnaire and how it was set up to solve a certain research question. The abstract gave us a more detailed explanation about the overall experiment and how graphs set created for the questionnaire. The abstract goes into the detail about the whole experiment while the presentation focused mostly on the questionnaire. ","I believe using more graphs from programs that are used everyday like excel would've made the study slightly better. If we used graphs that were most commonly used, we could have a more accurate result to how 2D and 3D perception are different. ","Personally, I would've preferred the presentation as it gave a simple explanation about the experiment and what the goal of the experiment was. It gave details to what the research question was about and how the experiment was set up to find out answers to the research question. "
"1","d4b0dad89981f5ec916e18e797d4625c",NA,"I agree","TRUE","I feel like the process of scientific investigation is a process where research begins to study. Meaning I think they take a specific approach to the study. I also think that scientific process is used. I think science happens randomly and never planned. ","decury-gatched-asswaging-micropores","I think the purpose of this experiment was to get a better understanding of where STAT218 students land. ","How many participants will have consistent results? ","Circle/triangle ","Categorical ",NA,"Components that are clearer are the which shape is smaller. I say this because at first, it was a little hard to decide. After understanding it was a little easier to understand.","They differed because of the different aspects involved. The information I gained went up and down. Furthermore, the information made more sense after the experiment. ","I feel like components like replicating weren't emphasized. I say this because there was no real focus. After doing it, it was hard for me to understand. ","Some critiques I would have are maybe have different studies. Having different studies can have better results. When its repetitive it can get boring and easy to lose track. ","I would prefer a presentation. I am more of a visual person and not interactive. I feel like the presentation would give a better insight on how the experiment was deigned. "
"1","fbe42ae823655e69431c0d4631da8837","STAT-218-701.1238","I agree","TRUE","I think science happens based on curiosity. I think scientific investigation happen because of people question why things happen. The world only works because people question and test the unknown.","syndicalism-husking-xenolith-undisciplined","Reading graphs","How well the average person can correctly read a bar graph","Angles and sight","Types of graphs used. Categorical ","I believe there we more then just bar graphs",NA,NA,NA,NA,NA
"1","46e34815c5d2d21da05447181237442f","STAT-218-701.1238","I agree","TRUE","Being a researcher involves such meticulous detail planning, down to refining survey instruments and even following up with study participants. I have a research job on campus, and the amount of hats the primary investigator wears just to ensure that the study is conducted according to standards and regulations is extensive. Research assistants, like myself, write and aim to publish the results for readers to consume. Their role is simply reading the article (sometimes just the abstract and conclusion) and coming up with their own judgment on whether or not they think the results are true or accurate. There is a wide discrepancy in those who take scientific results as fact, and those who are extremely skeptical.","petrographical-diphyodont-riving-boehmites","The purpose is to evaluate if different formats of presenting data affects people's accuracy in making comparisons and perceptual judgements based on bar charts.","3D printed bar charts will lead to more accurate ratio judgments compared to 2D or 3D digital charts.","Fatigue effect over the course of making many judgements, learning patterns from seeing the same ratios multiple times, possibly difference in eyesight among participants.","Independent: chart type (categorical)

Dependent: accuracy of ratio judgment (quantitative) ","1. Random assignment of participants to groups receiving different chart ratio orders which distribute order effects

2. Within-subjects design where each person sees all chart types to reduce variability

3. Control group receiving only 2D charts to compare 3D formats to","I didn't give much thought to how or why the graphs and bar values were presented the way that they were. I realize now that there were specific algorithms used to create the bar charts and select comparison values. The motivation for using 3D printed charts is also clearer since the experiment is testing if 3D printed charts improve accuracy. I'm still curious about the sample size and participant pool demographic information.","The experiment itself didn't make it obvious that 2D presentation of a graph distorts the data, which is an interesting perspective to carry when reading different charts, especially bar graphs. I learned this through the extended abstract and presentation, which drastically changed my thought process when reflecting on why each type of graph led me to believe it had that specific ratio on the slider tool.

I gained minimal information from the experiment itself, but the post-experiment activities helped me gain a better understanding of the purpose of the study.","The abstract focuses on high-level motivation and methods, while the presentation provided more details on the design considerations around minimizing distortion and precisely replicating prior work. There were also 15 treatment conditions per participant, which is a key experimental design detail not mentioned in the abstract. 

I assume this is due to the nature of an abstract and its purpose; it's a shorter introduction to any given study/results, doesn't include visuals, and shouldn't include results when trying to get the study published.","Learning outcomes - Seeing the same ratios across multiple chart types may inadvertently training participants, skewing results. Showing each ratio only once could avoid this. I found myself detecting patterns of ratios with multiple graphs.","I would prefer the full conference presentation over just the extended abstract. The presentation would provide much more detail that would help me better evaluate the experimental design."
"1","d2ae357f706b0e984bf13881c0ac145d","STAT-218-701.1238","I agree","TRUE","I think scientific investigation will give us a plan for experimentation, from a researcher's perspective this will start by providing a question that needs to be answered and then creating a hypothesis. In comparison to the eye of the public this differs by providing results to the general public. I think that science happens in more ways than can be defined, science isn't one category of something, its discovering things.","skyscape-maternities-huff-angioma","I think that the purpose of this study was to get a visual on what perspectives people see certain graphs. ","How will this experiment differ from the one previously studied by Cleveland and Mcgill (1984)","A source of error that is involved in this experiment could be a participant not understanding the objective of what they are doing. ","3D or 2D printed - categorical

answers given - quantitative

 ","I think randomization was used in this experiment, they randomly selected a group of participants to do this study. The experimenter decided it would be more efficient to randomize these participants to get a better idea of the average intelligence.","I believe that the components of this experiment are more clear to a reader than a participant are the methods that were used. Being a reader you get more information about the experiment all at once instead of over an extended amount of time. A question that I still have for the experimenter is if the bar graphs are the same exact size, what effect would that have on the study?","Being a participant in this study I felt as though I didn't get a lot of background behind this experiment as for the why of it. Post-study reflection I felt as though I got more insight into what this experiment was for. These differed based on the people within the experiment, it's very unlikely that an experiment with a random group of people will be the same.","The components that were emphasized in this presentation were the experiment as a whole within this presentation. We got more background information in the presentation than in the abstract. ","Some critiques of this study that I would make would be to make it a little more interesting to participate in, I feel like I had a hard time staying focused on this. To make this better I would have made it shorter for the participants and broadened it to way more people so people have less graphs each but have more answers.","I would like to have heard about this from the presentation over the extended abstract. However I think that the extended abstract was more informational and provided us with more background information. "
